Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Lightstall Inquisitor,EOE,Edge of Eternities,24,normal,rare,1,107447,635245e9-c27f-4a51-a6f1-bae62e696542,0.6,false,false,near_mint,en,EUR
Requiem Monolith,EOE,Edge of Eternities,113,normal,rare,1,107477,837d710a-652f-4c60-a52d-d786231160a4,0.02,false,false,near_mint,en,EUR
Pinnacle Starcage,EOE,Edge of Eternities,27,normal,rare,1,107519,b1f40c4c-a955-4d9c-8225-251fa4159124,0.4,false,false,near_mint,en,EUR
Infinite Guideline Station,EOE,Edge of Eternities,219,normal,rare,1,107023,5688894a-bbec-476b-ae2e-94000be258d0,0.02,false,false,near_mint,en,EUR
Watery Grave,EOE,Edge of Eternities,286,foil,rare,1,107131,b248ff3a-e10d-4797-8c04-7f4094608d32,13.99,false,false,near_mint,en,EUR
Reflecting Pool,EOS,Edge of Eternities: Stellar Sights,36,normal,mythic,1,107253,2b4e8ad6-7a60-43d6-a402-c91284993c14,4.0,false,false,near_mint,en,EUR
Quantum Riddler,EOE,Edge of Eternities,72,normal,mythic,1,106953,120be808-ff3b-4fca-96a1-4db6b9825856,13.0,false,false,near_mint,en,EUR
"Adagia, Windswept Bastion",EOE,Edge of Eternities,250,normal,mythic,1,107156,c634273a-94b0-4104-9d10-ae522ece1fc7,3.0,false,false,near_mint,en,EUR
"Kavaron, Memorial World",EOE,Edge of Eternities,255,normal,mythic,1,107033,60f3ca25-9dcc-4781-bf7b-ab6736d8db29,0.94,false,false,near_mint,en,EUR
Space-Time Anomaly,EOE,Edge of Eternities,229,normal,rare,1,107575,edb8dc2a-ddce-48fa-b57e-0e57c87c6671,0.02,false,false,near_mint,en,EUR
Cosmogoyf,EOE,Edge of Eternities,215,normal,rare,1,107030,5e07d3c6-60a5-44d1-a926-6414be85bd50,0.17,false,false,near_mint,en,EUR
Needle Spires,EOS,Edge of Eternities: Stellar Sights,30,normal,rare,1,107365,08fb8639-a0bb-4ad7-86b0-46116a078556,0.1,false,false,near_mint,en,EUR
Mutinous Massacre,EOE,Edge of Eternities,222,normal,rare,1,107012,42d5034f-18f0-4d57-9840-6be52c286247,0.04,false,false,near_mint,en,EUR
Hardlight Containment,EOE,Edge of Eternities,20,normal,rare,1,107368,0b934241-4d6b-4b9c-99f1-c49cb387cf56,0.05,false,false,near_mint,en,EUR
Watery Grave,EOE,Edge of Eternities,261,normal,rare,1,106762,5b8170dc-6a90-46fc-9989-7575f3d402b5,8.0,false,false,near_mint,en,EUR
